density dbh
2.37160041224358 113
0.00023753894682902 478
1.14937389213627e-24 77
0.00655970472989347 682
0.152978887600084 191
0.0244850259758549 812
0.0865677809790336 710
0.57812694981119 106
0.0138680346791821 582
1.70675192155292e-05 814
2.5639196416908e-20 781
0.0121738016482469 818
0.0318989245198947 572
0.0613948932901532 410
0.0100734185320246 637
0.00115063126936094 673
0.0353510823533845 770
0.0422419115558976 470
0.23950169309535 126
7.3842182652566 6
0.0197119893050309 829
0.00293833224444561 547
0.00918463303100051 870
0.0364417073098058 751
0.00319746354541707 614
0.0995598716566168 430
0.274586249494797 262
0.0128948304105213 744
0.0421000752705493 272
0.0467332118863091 511
0.132792450880433 207
0.000165171433699308 31
0.658013324443928 63
0.0789641018165231 599
1.31743257627474 37
1.91314317433087 124
0.000569181877037331 898
0.00653156011875658 762
0.00652211493726651 508
0.0355117804484226 554
0.0889188933877498 498
0.0124410507591339 514
4.67742936515762e-06 693
0.0975150636635938 336
0.00421223202021202 459
0.00660425106927042 853
0.0636162072737264 504
0.00610963063710434 778
0.0859816133755963 232
0.836476140903696 164
0.568399615451455 224
0.00246885087822725 863
0.0740225368200549 771
0.0487350189553025 484
0.180495966635108 591
0.00220837324353388 678
0.0608705665563797 371
0.0672320146980288 704
0.0625674910717718 314
0.00432889079575216 571
0 251
0.696662704060243 119
0.000447387961201686 616
0.0348635344393379 113
0.0284367830693546 729
1.73835433337228e-13 869
0.012655617026719 811
0.966955230255347 50
0.0434560411745985 699
0.0289943554399196 659
0.0538870338500566 130
0.0876025286066179 214
0.0693212102431684 701
0.055568138540034 864
0.00317501761325512 720
0.0456850617485318 646
0.0519186653563985 161
5.96287358433743e-08 829
0.0248016363942791 374
0 348
0.0218872248189119 423
0.0153147679086079 24
0.00935919828002242 391
1.55799790184107e-05 569
0.00275294565845962 330
8.92449149367338e-05 333
0.00687484995681784 627
0.12428620555945 55
0.0259764824257987 840
0.0322353646506447 163
0.00657048750923323 453
0 771
0.00607230545615804 702
0.173040132660223 164
1.7183688219438e-20 709
0.249731904514678 28
0.00211271301099867 510
0.0652275976975299 406
3.61462431213152 31
0.025806735846913 222
0.19818489471773 378
0.00531058816867501 833
0.0236460259619827 870
3.08351303047051 92
1.65893854021714e-05 885
0.00140920669696495 867
0.0358196551770851 68
0.00217297696592557 832
5.89052972746311 70
0.00301541494656788 836
0.0655972019946256 444
0.0261866574568851 463
0.560908471069392 157
0.722524960335622 98
0.074616084017858 251
3.07867892366586e-05 656
1.93326244167365 38
0.331217860018062 217
0.0517813258697939 559
0.0527640191969113 601
0 538
0.495572198429363 192
1.26684941969994 136
0.959917438721791 93
0.00745804244230035 827
620.830398539634 4
2.06433386702916 87
0.461319018256807 73
0 802
0.0416316495545154 287
0.0134112289004191 286
0.0222773129318349 684
0.0045621681298706 690
0.00217769659430833 427
0.0195363321644769 184
1.932618845391e-05 507
0.0364428912326911 599
7.38120462996555e-09 209
0.0884229683156831 344
0.0138212546928112 751
0.0200202177562478 723
1.74501694678485e-08 685
0.00404493209563347 525
0.0226070271347458 564
0.000224641946649042 287
0.0291633262585505 624
0.0178809664504889 344
0.000618108370613982 842
0.00256480541951043 692
0.173687017641651 308

