density dbh
1.05747098035083 113
0.013141000397126 478
0.0058494422509273 77
0.00167215364826807 682
0.43143908528632 191
8.89769862766249e-06 812
0.0637900407544397 710
1.14401086007841 106
0.00362279073834938 582
0.0114599282181939 814
5.56661168697919e-07 781
3.29257080880466e-05 818
0.0741963068011906 572
0.0971782893878026 410
0.0220686389735644 637
0.000406459363456116 673
0.00392424741368128 770
0.164563618583399 470
0.455323289872654 126
1.42334694596016 6
0.000569134204601396 829
0.0350462588821591 547
0.00635277894864825 870
0.0326161270123655 751
0.00255308912912028 614
0.119810377920308 430
0.213893163564458 262
0.0164923057098346 744
0.0370591630631691 272
0.134033831386576 511
0.272291681832434 207
0.000109315442534066 31
5.7034958501954 63
0.0229557765340242 599
9.45483748660158 37
2.39570518084288 124
0.00241091322990773 898
1.05921316128708e-06 762
0.070233878158475 508
0.000926943200840629 554
0.00282279722365594 498
0.013464565505555 514
0.000304848387769698 693
0.0211495458896647 336
0.0102389304164837 459
0.0471868986054826 853
0.00331764441870476 504
3.6538476763155e-05 778
0.332389063084066 232
0.918116201420431 164
0.321917171373135 224
1.40139395179591e-05 863
0.000390066926397583 771
0.0264818136298772 484
0.0602339371915789 591
0.00126056823935635 678
0.0767623494943791 371
0.060259533532566 704
0.62794853420569 314
0.0636887474640389 571
1.57516583868705e-06 251
2.53193070515082 119
0.0117729930274782 616
0.0245917371198671 113
0.00642283863273316 729
1.63416608920837e-06 869
0.00494230854053235 811
9.26076684643943 50
0.0124553209843137 699
0.002066316977744 659
0.140731501874875 130
0.0777969381931097 214
0.1785339826813 701
0.0110740292717886 864
6.05547267703066e-05 720
0.105218992938792 646
0.193398774524757 161
1.0128655342594e-08 829
0.037826243732936 374
2.48687636044142e-08 348
0.0135786511268385 423
33.4374127673735 24
0.0660703770991145 391
2.89877811294184e-16 569
2.45237143857483e-05 330
3.3441860033298e-06 333
1.59519305488865e-11 627
0.128358186603696 55
0.0045275039395402 840
0.191582899786736 163
0.00977586601166965 453
0 771
0.00374683770700759 702
0.000365108876940157 164
1.23896314082784e-24 709
2.64693343871502 28
0.00375970273491168 510
0.0391489219130555 406
2.2238938293723e-07 31
0.689614043129935 222
0.0134434545195629 378
5.19775928708499e-05 833
0.0102851836190256 870
0.0548037688933107 92
0.000814903218290664 885
0.00572050629747065 867
0.00106392101815491 68
0.00905540713383893 832
2.37748551594854e-07 70
0.0126201625355392 836
0.0103902928049304 444
0.0018220973819267 463
0.728099492074979 157
2.12311406495413e-13 98
0.153774510464874 251
0.00254125811325973 656
1.37193846664262e-11 38
0.000509716309663445 217
0.0137750675406833 559
0.0030343474332441 601
9.67442283106227e-08 538
0.128349057027127 192
0.0162247811438449 136
2.48109522993073 93
0.000948454332393759 827
708.018374086263 4
0.351949237711656 87
3.99811999155796e-09 73
0 802
0.135123727388549 287
0.00104514590013519 286
0.0318437899729469 684
7.64431820998901e-05 690
0.00152472828848876 427
0.0689420665541676 184
2.99671452713784e-05 507
0.028756569904335 599
0.00527258345487475 209
0.0812792221083744 344
0.0594349303980628 751
8.31276261093201e-05 723
2.43317622383921e-21 685
0.0374546355514186 525
0.0495639296353097 564
0.0066954853570991 287
0.0147720836888817 624
0.111723248515442 344
0.00911738022771007 842
0.00457712728372947 692
0.410668559048693 308

